時間,キャスト,セリフ,BGM
,若狭悠里,犬には私たちのような色は見えなくて、セピア色に見えるんですって,｜
,若狭悠里,その代わり、夜でも目が効いたり、紫外線の一部を見たりすることができるんだって,｜
,若狭悠里,私たちは犬の嗅いでいる匂いを知覚できない,｜
,若狭悠里,犬は私たちの見ている花の色が分からない,｜
,恵飛須沢胡桃,へー、そうなんだ,｜
,丈槍由紀,帽子返してよー！,｜
,-,(帽子を取り合う由紀と太郎丸),｜
,恵飛須沢胡桃,でもさ、あの2人は…同じものが見れてる気しない？,｜
,直樹美紀,そうですね,｜
,恵飛須沢胡桃,だろう？,Vol.1 - 02 - 朝の訪れ
,若狭悠里,私達だって…同じものが見えてるわけじゃない,-
,丈槍由紀,(帽子を取り合う中、勢い余って転げる由紀)きゃあ！,-
,丈槍由紀,太郎丸！もう！待ってよー！えい！(棚に当たってこける由紀)きゃー！,-
,若狭悠里,由紀ちゃん！,-
,恵飛須沢胡桃,大丈夫か？,-
,丈槍由紀,いってててて…,-
,直樹美紀,先輩、無理しないでください,-
,丈槍由紀,大丈夫大丈夫…ん？これ…は…？,-
,若狭悠里,めぐねぇの私物かしら,-
,直樹美紀,あぁもうこんなになっちゃって…,-
,若狭悠里,手伝うわ,-
,直樹美紀,ぁ…ありがとうございます,-
,若狭悠里,貴方だってもう同じ部員なんだから、そんなお礼いいのよ,-
,直樹美紀,は…はい…,-
,丈槍由紀,あ！これ！,-
,丈槍由紀,ねぇねぇこれ見て！お手紙書いてみない？,-
,恵飛須沢胡桃,しかし、手紙を書くのはいいけどさ。どうやって出すんだ？,Vol.2 - 02 - 廊下は走らない
,丈槍由紀,あ、本当だ、郵便局は外だよ,｜
,直樹美紀,気が付いてなかったんですか,｜
,若狭悠里,だったら、直接学校から出せばいいんじゃない？,｜
,一同,おぉ〜,｜
,恵飛須沢胡桃,手紙と言えば、伝書鳩だな,｜
,丈槍由紀,それで、伝書鳩は何処にいるんですか？,｜
,恵飛須沢胡桃,これから捕まえるんだよ,｜
,丈槍由紀,でもどうやって捕まえるの？,｜
,恵飛須沢胡桃,(シャベルを見せる胡桃)コイツで！,｜
,丈槍由紀,ぅあ！鳩のたたき？,｜
,恵飛須沢胡桃,いやいやぁ峰打ちにするからぁとぅ！,｜
,若狭悠里,無理じゃないかな,｜
,直樹美紀,そもそも当たりませんし…,｜
,丈槍由紀,(風船を取り出す由紀)お手紙といえばコレ！,｜
,恵飛須沢胡桃,お、この前肝試しで取ってきたやつ,｜
,丈槍由紀,(風船を膨らませる由紀)ふぅぅぅぅぅ！,｜
,直樹美紀,いや…息で膨らませても飛ばないでしょ,｜
,若狭悠里,あらあら…,｜
,丈槍由紀,(風船が割れる)わぁ！,Vol.2 - 02 - 廊下は走らない
,一同,(驚く一同)うぉ！,-
,直樹美紀,ヘリウムガスとかあればいいんですけどね,-
,若狭悠里,ぉ、確か昔スキューバ部が使ってたのがあったかも,-
,直樹美紀,そんな部活があったんですか？,-
,若狭悠里,昔ね,-
,恵飛須沢胡桃,じゃあ、ちょっくら行ってくるわ,-
,若狭悠里,待って。ボンベは一人じゃ運べないわ,-
,直樹美紀,私も行きます,-
,若狭悠里,え？,-
,若狭悠里,でも…,-
,直樹美紀,私も部員ですから,-
,若狭悠里,じゃあお願い,-
,直樹美紀,はい,-
,丈槍由紀,私も〜！,-
,若狭悠里,由紀ちゃんはお手紙書いたら,-
,丈槍由紀,あ、そうだね〜書くよー！すごいの書く！,-
,-,(廊下を歩いている胡桃とみーくん),Vol.2 - 12 - 放課後
,直樹美紀,手紙…受け取ってくれる人居るんでしょうか,｜
,恵飛須沢胡桃,居ると思うぜ,｜
,恵飛須沢胡桃,人類が、みんな居なくなったってことは無いだろう,｜
,直樹美紀,そうですね,｜
,恵飛須沢胡桃,万が一って事があるからな。当てにしてる,｜
,直樹美紀,はい！,｜
,丈槍由紀,う〜ん…,｜
,若狭悠里,どうしたの？,｜
,丈槍由紀,改まって書くと恥ずかしいよね。私字が汚いし…,｜
,若狭悠里,大丈夫よ,｜
,若狭悠里,ちょっと貸して,｜
,丈槍由紀,何何？,｜
,丈槍由紀,へぇ紙人形？可愛い！,｜
,若狭悠里,もし由紀ちゃんが…道端で風船拾って、お手紙ついてたらどう思う？,｜
,丈槍由紀,うーん、びっくりする！あと嬉しい！,｜
,若狭悠里,この人字が下手だなぁとか思う？,｜
,丈槍由紀,ううん！手紙だけですっごく嬉しいよ！,｜
,若狭悠里,でしょ？,｜
,丈槍由紀,そっか…！,｜
,恵飛須沢胡桃,ただいまー,｜
,直樹美紀,戻りました。ヘリウムボンベ、有りましたよ,｜
,恵飛須沢胡桃,罠も持ってきたぜ,｜
,若狭悠里,伝書鳩、まだ諦めてなかったのね,｜
,恵飛須沢胡桃,もちろん！,｜
,丈槍由紀,ねぇねぇ、みーくんもお手紙書こう？ほらほら〜,｜
,直樹美紀,はいはい…,｜
,恵飛須沢胡桃,おい！由紀見てみろよ！,｜
,丈槍由紀,え？何何？,Vol.2 - 12 - 放課後
,恵飛須沢胡桃,この罠を使えば、鳩なんてイチコロ！瞬殺だぜ！,-
,若狭悠里,殺しちゃダメじゃないかしら…,-
,-,(鍵を見つけるみーくん),-
,恵飛須沢胡桃,じゃあ、私は鳩捕まえてくる,-
,丈槍由紀,いってらっしゃーい,-
,若狭悠里,ボンベは壁側に移しましょうか,-
,丈槍由紀,うん、そうだねー,-
,-,(めぐねぇのものだと気付くみーくん),-
,丈槍由紀,みーくん？,-
,直樹美紀,は、はい…,-
,丈槍由紀,手紙に何書く？,-
,直樹美紀,ぅぅ…そうですね…何がいいのかなぁ,-
,鳩,(鳩を捕まえるため背後から忍び寄る胡桃。それに気付く鳩)ク…ポォォォ！！！,Vol.1 - 24 - 学校は勇者に微笑む
,恵飛須沢胡桃,(網で確保しようとする胡桃)ぇいい！,｜
,恵飛須沢胡桃,(胡桃の頭に乗っかる鳩)ぎゃぁぁ！,｜
,恵飛須沢胡桃,待てー！,｜
,直樹美紀,でも、手紙って何を書いたらいいんでしょう,｜
,若狭悠里,何でもいいんじゃない…自分のこととか、将来のこととか、好きなことを書いたら,｜
,丈槍由紀,将来かぁ…進学か就職か決めないとめぐねぇ怒るよねー,｜
,若狭悠里,めぐねぇでなくても怒ると思うわ,｜
,丈槍由紀,そうだよね…,｜
,直樹美紀,私達もいつか…この学校を出て行かないといけないですよね…,｜
,若狭悠里,そうねぇ,｜
,丈槍由紀,卒業だね！そうだ！卒業したらどうしたいのか、夢を描こう,｜
,直樹美紀,将来の夢…,｜
,丈槍由紀,うん！それでね！私たちは元気に夢に向かって頑張ってるよーって！,｜
,-,(ヘリウムボンベで風船を膨らませる一同),｜
,-,(鳩が部室内を飛び回り慌てふためく一同),Vol.1 - 24 - 学校は勇者に微笑む
,-,(雨宿りしようと玄関前に集まろうとするカレラ),-
,若狭悠里,(ドアを開けて入ってくるりーさん)眠れないの？,-
,直樹美紀,玄関、騒がしいですね,-
,若狭悠里,あんな風になっても、雨ざらしなのは嫌みたいね,-
,直樹美紀,(ポケットから鍵を取り出すみーくん)これ…昼間拾ったんです。佐倉って、確か…,-
,若狭悠里,めぐねぇ…,-
,若狭悠里,これ、私が預かってもいいかしら。何か役に立つものがあるかも,-
,直樹美紀,お願いします,-
,若狭悠里,(鍵を受け取るりーさん)ありがとう…,-
,若狭悠里,きっと、いつかみんなでここを出られるわ,-
,直樹美紀,はい…雨やみますかね,-
,若狭悠里,きっと…大丈夫よ,-
,-,(屋上に集まった一同),-
,恵飛須沢胡桃,よっしゃー！,-
,直樹美紀,いよいよですね,-
,丈槍由紀,鳩子ちゃんも頑張ってね,-
,恵飛須沢胡桃,ちょっと待て、誰が鳩子ちゃんだ,-
,丈槍由紀,この子だよ。鳩錦鳩子ちゃん,-
,恵飛須沢胡桃,違う、こいつはアルノーだ！,-
,丈槍由紀,えー！私も名前付けたい！,-
,恵飛須沢胡桃,捕まえたのは私だ！,-
,丈槍由紀,鳩子ちゃんの方が可愛い〜,-
,恵飛須沢胡桃,こいつ絶対アルノーって顔してる！,-
,直樹美紀,二人共やめてください,-
,若狭悠里,間を取って、アルノー鳩錦二世でどうかしら,-
,丈槍由紀,ん？,-
,恵飛須沢胡桃,ぉお…,-
,恵飛須沢胡桃,仕方ない…,-
,丈槍由紀,よぉし、お前の名前はアルノー鳩錦二世だよ,-
,直樹美紀,一体二世はどこから,-
,恵飛須沢胡桃,よし！アルノー鳩錦二世、飛んでくれよ！,-
,丈槍由紀,じゃあ、1・2・3で行くよ,-
,若狭悠里,せーの,-
,一同,1…2…3！,-
,-,(大空に飛び立つアルノー鳩錦二世とその手紙を見つめる一同),該当無し
,-,(各地を飛び回る手紙),｜
,直樹美紀,圭…お元気ですか？,｜
,直樹美紀,私は新しい場所で…新しい友達が出来ました。私は元気です。太郎丸も元気です。ここのみんなの、おかげです,｜
,祠堂圭,生きていればそれでいいの？,｜
,直樹美紀,うん、生きているって素晴らしいよ,｜
,直樹美紀,露落ちて…花残れり…花しぼみて、露なほ消えず,｜
,恵飛須沢胡桃,何それ,｜
,直樹美紀,友達が…好きだった言葉です,｜
,恵飛須沢胡桃,そうか…届くといいな,｜
,-,(頷くみーくん),｜
,直樹美紀,いつかまた…私の行く道の先で…貴方と出会えますように,該当無し
,-,(ED),アフターグロウ
