時間,キャスト,セリフ,BGM
,直樹美紀,何でしょう,-
,若狭悠里,ここにいる間は、あの子の様子に合わせてもらえないかしら,-
,直樹美紀,え…それじゃあ、いつまで経っても治らないじゃないですか,-
,若狭悠里,治るとか…治らないとか…そういうものじゃないのよ,-
,若狭悠里,まだ、貴方には分からないと思うけれど,-
,直樹美紀,どう違うって言うんですか,-
,-,(拳に力が入るりーさん),-
,恵飛須沢胡桃,ま…待った！二人共落ち着けよ…な？,-
,直樹美紀,分かりました…由紀先輩のことをきちんと知るまでは…で、いいんですよね,-
,-,(ドアを開ける音),-
,太郎丸,ワン！,-
,丈槍由紀,あ、おかえりー！,-
,一同,ただいまぁ,-
,丈槍由紀,もう、みんな待ってたんだよー、早く席に座って座って,-
,恵飛須沢胡桃,何だ何だ？,-
,若狭悠里,それで、それでどうしたの？,-
,丈槍由紀,(机を叩く由紀)みんな！,-
,一同,(驚く一同),-
,丈槍由紀,体育祭やろう！,-
,若狭悠里,あら,-
,直樹美紀,ん？,-
,恵飛須沢胡桃,体育祭？,-
,丈槍由紀,みんなで体を動かすと楽しくなるよ〜ね、みーくんも一緒に！,Vol.2 - 02 - 廊下は走らない
,直樹美紀,遊び、ですか？,｜
,丈槍由紀,遊びじゃないよぉ、部活動,｜
,直樹美紀,部活動？,｜
,若狭悠里,ほら由紀ちゃん、美紀さんはまだ知らないから,｜
,丈槍由紀,ぁ、あそっか…,｜
,直樹美紀,？,｜
,丈槍由紀,学園生活部心得第5条！,｜
,一同,部員は、折々の学園の行事を、大切にすべし！,｜
,太郎丸,ワン！,｜
,丈槍由紀,だ・か・ら！体育祭、だよ！,Vol.2 - 02 - 廊下は走らない
,直樹美紀,さっぱり分かりません,-
,直樹美紀,もっと他にやることがあるんじゃないんですか？,-
,丈槍由紀,やるべきことよりやりたいことだよ,-
,直樹美紀,ダメ人間じゃないですか！,-
,恵飛須沢胡桃,いい機会じゃないか？,-
,直樹美紀,え？,-
,恵飛須沢胡桃,由紀のことを知る、いい機会だと思うんだ,-
,直樹美紀,分かりました…確かにそうですね,-
,丈槍由紀,やったー！,-
,-,(体育祭の準備をする一同),Vol.1 - 03 - 学園生活部活動記録
,-,(短距離走をする胡桃とみーくん),｜
,-,(二人三脚をする一同),｜
,-,(玉入れをする由紀とみーくん。由紀が投げた玉が額に当たる),｜
,直樹美紀,はぁ…,Vol.1 - 03 - 学園生活部活動記録
,-,(胡桃がタオルを渡してくる),-
,恵飛須沢胡桃,ほら,-
,直樹美紀,あ…ありがとうございます…,-
,-,(みーくんの隣に座る胡桃),-
,恵飛須沢胡桃,思いっきり身体を動かすって、案外いいだろう？,-
,直樹美紀,はい…楽しかったです,-
,恵飛須沢胡桃,由紀はさ、何でか分かんないけど、本当にこういうのが必要だってなった時にさ。こういう事を言い出すんだ,Vol.2 - 12 - 放課後
,恵飛須沢胡桃,ショッピングモールに行った時もそうだった…,｜
,恵飛須沢胡桃,いきなり、由紀が遠足に行こうって言い出したんだ,｜
,直樹美紀,え？,｜
,恵飛須沢胡桃,いきなりだったし、私もおかしいだろって言ったけどさ…行って良かったと思ってる,｜
,直樹美紀,…,｜
,恵飛須沢胡桃,考えるのも大切な事だけど…考えてばっかじゃ、前に進まない事もあると思うんだよ,｜
,直樹美紀,考えて、ばかりじゃ…,｜
,恵飛須沢胡桃,もちろん、身体を動かすだけじゃ、ダメな時もある。そんな…考えてもダメ、身体を動かすのもダメって時…答えをくれるのが由紀なんだ,｜
,-,(みーくんの方を見てニコッとする胡桃),｜
,直樹美紀,そうなのかも…しれませんね,｜
,丈槍由紀,(シチューをガツガツ食べる由紀)やっぱりいっぱい運動した後のご飯は美味しいよね〜,｜
,恵飛須沢胡桃,異議なーし！,｜
,若狭悠里,おかわりもあるからね,｜
,-,(エサを食べる太郎丸),｜
,直樹美紀,(シチューをすくって食べるみーくん)…美味しい…,｜
,丈槍由紀,美味しいねぇめぐねぇ…え？,｜
,-,(由紀が喋るのを他所に思うみーくん),｜
,直樹美紀,なんでだろう…由紀先輩も、めぐねぇも…あんなに変だと思ってたのに,｜
,直樹美紀,今は2人がいて良かった気がする,｜
,祠堂圭,部屋に閉じこもって…生きていればそれでいいの？,｜
,直樹美紀,そうだ…あの頃の私たちは、ただ死んでないだけだった,｜
,丈槍由紀,ねぇねぇ、今日どうだった？楽しかった？,｜
,直樹美紀,楽しいというか…目が回りました,｜
,丈槍由紀,そ、そうかなぁ,｜
,恵飛須沢胡桃,ま、由紀と居ると退屈しないよな,｜
,若狭悠里,賑やかよね,｜
,恵飛須沢胡桃,太郎丸より危なっかしいけどなぁ,｜
,太郎丸,ワン！,｜
,丈槍由紀,むぅぅぅ…何を〜,｜
,直樹美紀,来て良かった,｜
,丈槍由紀,ぅ？,｜
,直樹美紀,何でもないです,｜
,丈槍由紀,あ。おかわりする？,｜
,直樹美紀,いただきます,｜
,-,(立ち上がる由紀をじっと見つめるみーくん),｜
,丈槍由紀,な、何かな,｜
,直樹美紀,いえ、貴方は思ったよりすごい先輩です,｜
,丈槍由紀,はぇ？,｜
,直樹美紀,すごいです、すごいのです,｜
,丈槍由紀,え、えー…私って、すごいの？,｜
,直樹美紀,やっぱり嘘です,｜
,丈槍由紀,えーーー！,｜
,-,(笑う胡桃と拗ねる由紀),｜
,-,(シャワーを浴びるみーくん。何かを決断する),Vol.2 - 12 - 放課後
,直樹美紀,(脱衣所にりーさんがいる事を確認するみーくん)あ…,-
,若狭悠里,あら？,-
,直樹美紀,えっと…ちょっといいですか,-
,直樹美紀,どうしても、言っておきたいことがあるんですけど,-
,-,(目を見開くりーさん),-
,直樹美紀,私も、学園生活部に入れてくれませんか！,-
,若狭悠里,え…,-
,直樹美紀,あの…まずは仮入部からでも…,-
,直樹美紀,由紀先輩の事…もっとよく知りたいんです！,-
,-,(手を差し伸べるりーさん),-
,直樹美紀,ぅ…,-
,若狭悠里,歓迎するわ,-
,-,(りーさんの手を握ろうとするみーくん),Vol.2 - 10 - 優しさに触れた時
,-,(圭との出来事を思い出す),｜
,-,(りーさんと握手を交わすみーくん),｜
,若狭悠里,ようこそ、学園生活部へ,｜
,直樹美紀,よしっと…,｜
,恵飛須沢胡桃,お、いい感じになってきてる,｜
,若狭悠里,この時は…まだ美紀さんも入部してなかったのよね,｜
,太郎丸,ワンー,｜
,若狭悠里,うふっ貴方も居たわね,｜
,丈槍由紀,出来たー！,｜
,丈槍由紀,はぁ！(卒業アルバムをめくる由紀),｜
,丈槍由紀,思い出、たくさん作ろうね！,Vol.2 - 10 - 優しさに触れた時
,-,(ED),アフターグロウ
