時間,キャスト,セリフ,BGM
,直樹美紀,そうですね…もし外に逃げちゃってたなら、今も無事かどうか…,｜
,丈槍由紀,無事に決まってるよ、だって太郎丸がいたんだもん,｜
,直樹美紀,そっか…そうですね。太郎丸、すごい勇敢な子でしたね,｜
,恵飛須沢胡桃,なぁ、さっきの話だけど、学校出てから先のこと。うだうだ悩むなもうやめようぜ。じゃなきゃ、太郎丸に笑われる,｜
,若狭悠里,えぇ,｜
,若狭悠里,(立ち上がるりーさん)それじゃあ、この学校ともお別れね,｜
,丈槍由紀,ね、その前に…,｜
,一同,？？？,｜
,丈槍由紀,卒業式やろう！,｜
,一同,ぁ…,｜
,恵飛須沢胡桃,卒業式かぁ,｜
,若狭悠里,そうね、卒業式があったわね,｜
,直樹美紀,こんな時も先輩は…やっぱり先輩ですね,｜
,丈槍由紀,え、なになにどゆこと？,｜
,直樹美紀,先輩はそのままでいいってことです。ていうか、私も卒業していいんですか？,｜
,丈槍由紀,みーくんは頭いいから、飛び級！,｜
,直樹美紀,ほんっと先輩なんですから,｜
,直樹美紀,私からの精一杯の、ビスケットです,｜
,丈槍由紀,(ビスケットを食べる由紀)リスペクトだよ？,｜
,若狭悠里,じゃあ、学園生活部最後の部活動は、卒業式に決定ね,｜
,一同,おぉ！,｜
,-,(卒業式の準備を進める一同),｜
,-,(チョークで黒板に文字を書く由紀),｜
,恵飛須沢胡桃,おぉい由紀ー！,｜
,丈槍由紀,ぉ？何ー？,Vol.2 - 26 - 友情の証
,若狭悠里,それではこれより、巡ヶ丘学院高校の、卒業証書授与式を執り行います,-
,直樹美紀,在校生送辞、直樹美紀,-
,直樹美紀,はい！,-
,直樹美紀,月日の流れるのは、本当に早いものです,Vol.2 - 27 - みんなの卒業式
,直樹美紀,先輩たちと出会ったばかりと思ったら、もう卒業の季節なのですね,｜
,直樹美紀,私達の学校の外には、大きな未来が広がっています,｜
,直樹美紀,社会の荒波の中に漕ぎ出していく自分を思うと…誇らしさと同時に、不安も感じます,｜
,直樹美紀,そんな私を、先輩達は学園生活部に誘ってくれました,｜
,直樹美紀,そこで私は…自分の力を信じて努力すること、苦難に立ち向かう勇気、どんな時にもくじけない明るい心を知りました,｜
,直樹美紀,だからもう、不安はありません,｜
,直樹美紀,本当に…本当にありがとうございました,｜
,直樹美紀,在校生代表兼卒業生、直樹美紀…,｜
,-,(拍手する一同),｜
,若狭悠里,続いて、卒業生答辞、丈槍由紀,｜
,丈槍由紀,はい！,｜
,丈槍由紀,直樹さん、心に迫る送辞をありがとう！,｜
,丈槍由紀,私たちにとってみーくん、美紀君、美紀さんとも…,｜
,直樹美紀,みーくんでいいです,｜
,丈槍由紀,えへへ…ごみん,｜
,丈槍由紀,みーくんとの出会いは、大切なものでした,｜
,丈槍由紀,みーくんが居て、太郎丸が居て、めぐねぇが居て…居なくなった人もいるけど…でも、だから…みんなで一緒に卒業できて、嬉しいです…,｜
,丈槍由紀,これからも、ずっと一緒に居ましょう,Vol.2 - 27 - みんなの卒業式
,-,(泣き出す由紀に寄り添う一同),仰げば尊し
,丈槍由紀,卒業生代表、丈槍由紀,｜
,若狭悠里,先生へ、礼,｜
,若狭悠里,以上を持ちまして、巡ヶ丘学院高校、卒業証書授与式を終了します,｜
,-,(走って教室を後にする一同),｜
,-,(振り返るりーさん。色紙を持った笑顔のめぐねぇ),｜
,若狭悠里,ありがとうございました…！,仰げば尊し
,丈槍由紀,りーさん！早くー！,-
,-,(車のエンジンをかける胡桃),-
,丈槍由紀,よし！行こう！,-
,一同,しゅっぱーつ！,-
,丈槍由紀,何か忘れ物？,-
,直樹美紀,ぁいえ、別に…それにしても、本当にいませんね,-
,丈槍由紀,みんな帰っちゃったんだね,-
,直樹美紀,そうなんでしょうねぇ,-
,丈槍由紀,少し寂しいって言ったら変かな,-
,直樹美紀,変です、でも気持ちは分かります…(圭らしきカレラを見つけるみーくん),-
,恵飛須沢胡桃,どしたぁ？,-
,直樹美紀,いえ…(涙を拭うみーくん)私達…本当に学校が大好きなんだなって,-
,,(黒板に書かれた圭へのメッセージ),ふ・れ・ん・ど・し・た・い
,丈槍由紀,ねぇねぇ、これってさ！卒業旅行だよね！,｜
,若狭悠里,そうねぇ、何処に行く？,｜
,丈槍由紀,アメリカ！,｜
,恵飛須沢胡桃,海外かよ！,｜
,丈槍由紀,胡桃ちゃんは何処へ行きたい？,｜
,恵飛須沢胡桃,そりゃあ卒業旅行なら…京都とか,｜
,丈槍由紀,京都…忍者だね,｜
,恵飛須沢胡桃,なんでだよ,｜
,直樹美紀,じゃあ舞妓さん？,｜
,恵飛須沢胡桃,ぇ…,｜
,若狭悠里,あ、今一瞬考えたわね？,｜
,一同,うふふふぅ〜,｜
,恵飛須沢胡桃,おぉまぁえぇらぁぁぁ！！！,｜
,-,(笑う一同),｜
,-,(目を覚ます由紀、みんなに見つめられて笑顔になる),ふ・れ・ん・ど・し・た・い
,-,(夕方の河川敷を歩く丸メガネの女がお手紙を手に取る),-
